"Windows Server 2008 (ia64)","1"
"linux (amd64)","1"
"Linux (s390)","1"
"OS/400 (PowerPC)","1"
"z/OS (s390x)","1"
"OpenBSD (i386)","2"
"Linux (sparc)","2"
"Windows Server 2003 (amd64)","3"
"Linux (ppc64)","4"
"HP-UX (IA64W)","4"
"Linux (s390x)","4"
"Windows NT (unknown) (x86)","5"
"z/OS (s390)","5"
"Linux (ia64)","8"
"Windows 7 (amd64)","9"
"Linux (ppc)","9"
"SunOS (amd64)","13"
"FreeBSD (amd64)","13"
"SunOS (sparcv9)","18"
"Windows Server 2003 (x86)","22"
"FreeBSD (i386)","26"
"Windows 7 (x86)","28"
"Windows Vista (amd64)","31"
"HP-UX (PA_RISC2.0)","34"
"Mac OS X (ppc)","36"
"Windows XP (amd64)","41"
"AIX (ppc64)","43"
"HP-UX (IA64N)","46"
"AIX (ppc)","49"
"Linux (x86)","62"
"Windows Server 2008 (amd64)","78"
"Mac OS X (x86_64)","89"
"Windows 2000 (x86)","126"
"Windows Server 2008 (x86)","133"
"Windows Vista (x86)","172"
"Mac OS X (i386)","177"
"Windows 2003 (amd64)","179"
"SunOS (x86)","385"
"SunOS (sparc)","492"
"Windows 2003 (x86)","1933"
"Windows XP (x86)","2253"
"Linux (amd64)","2518"
"Linux (i386)","4685"
"N/A","5609"
